text,label,author_name,colluqial_transformed_text,cleaned_text,translated_text,corrected_text,tokenized_text,filtered_tokens,filtered_text,stemmed_text
"yg bikin tenang rakyat dan tidak anarkis yaitu bubarin dpr..!!!...kalo belum di bubarin maka rakyat bersumpah demo akan meluas ke rumah2 polisi pembunuh dan markas2 tni-polri yg selalu menghalang halangi aspirasi rakyat akan di bakarrr dan di hancurkan...
rakyat bukan tidak punya rasa takut tapi karena hatinya sudah sangat tersakiti oleh pemerintah indonesia yg bobrok ini dan rela mati untuk memperjuangkan suara2 yg tersakiti selama bertahun tahun....",1,@DefaMen-u4m,yang bikin tenang rakyat dan tidak anarkis yaitu bubarin dpr..!!!...kalo belum di bubarin maka rakyat bersumpah demo akan meluas ke rumah2 polisi pembunuh dan markas2 tni-polri yang selalu menghalang halangi aspirasi rakyat akan di bakarrr dan di hancurkan... rakyat bukan tidak punya rasa takut tapi karena hatinya sudah sangat tersakiti oleh pemerintah indonesia yang bobrok ini dan rela mati untuk memperjuangkan suara2 yang tersakiti selama bertahun tahun....,yang bikin tenang rakyat dan tidak anarkis yaitu bubarin dpr kalo belum di bubarin maka rakyat bersumpah demo akan meluas ke rumah polisi pembunuh dan markas tni polri yang selalu menghalang halangi aspirasi rakyat akan di bakarr dan di hancurkan rakyat bukan tidak punya rasa takut tapi karena hatinya sudah sangat tersakiti oleh pemerintah indonesia yang bobrok ini dan rela mati untuk memperjuangkan suara yang tersakiti selama bertahun tahun,yang bikin tenang rakyat dan tidak anarkis yaitu bubarin dpr kalo belum di bubarin maka rakyat bersumpah demo akan meluas ke rumah polisi pembunuh dan markas tni polri yang selalu menghalang halangi aspirasi rakyat akan di bakarr dan di hancurkan rakyat bukan tidak punya rasa takut tapi karena hatinya sudah sangat tersakiti oleh pemerintah indonesia yang bobrok ini dan rela mati untuk memperjuangkan suara yang tersakiti selama bertahun tahun,yang bikin tenang rakyat dan tidak anarkis yaitu bubarin dpr kalo belum di bubarin maka rakyat bersumpah demo akan meluas ke rumah polisi pembunuh dan markas tni polri yang selalu menghalang halangi aspirasi rakyat akan di bakarr dan di hancurkan rakyat bukan tidak punya rasa takut tapi karena hatinya sudah sangat tersakiti oleh pemerintah indonesia yang bobrok ini dan rela mati untuk memperjuangkan suara yang tersakiti selama bertahun tahun,"['yang', 'bikin', 'tenang', 'rakyat', 'dan', 'tidak', 'anarkis', 'yaitu', 'bubarin', 'dpr', 'kalo', 'belum', 'di', 'bubarin', 'maka', 'rakyat', 'bersumpah', 'demo', 'akan', 'meluas', 'ke', 'rumah', 'polisi', 'pembunuh', 'dan', 'markas', 'tni', 'polri', 'yang', 'selalu', 'menghalang', 'halangi', 'aspirasi', 'rakyat', 'akan', 'di', 'bakarr', 'dan', 'di', 'hancurkan', 'rakyat', 'bukan', 'tidak', 'punya', 'rasa', 'takut', 'tapi', 'karena', 'hatinya', 'sudah', 'sangat', 'tersakiti', 'oleh', 'pemerintah', 'indonesia', 'yang', 'bobrok', 'ini', 'dan', 'rela', 'mati', 'untuk', 'memperjuangkan', 'suara', 'yang', 'tersakiti', 'selama', 'bertahun', 'tahun']","['bikin', 'tenang', 'rakyat', 'anarkis', 'bubarin', 'dpr', 'kalo', 'bubarin', 'rakyat', 'bersumpah', 'demo', 'meluas', 'rumah', 'polisi', 'pembunuh', 'markas', 'tni', 'polri', 'selalu', 'menghalang', 'halangi', 'aspirasi', 'rakyat', 'bakarr', 'hancurkan', 'rakyat', 'bukan', 'punya', 'rasa', 'takut', 'hatinya', 'sangat', 'tersakiti', 'pemerintah', 'indonesia', 'bobrok', 'rela', 'mati', 'memperjuangkan', 'suara', 'tersakiti', 'selama', 'bertahun', 'tahun']",bikin tenang rakyat anarkis bubarin dpr kalo bubarin rakyat bersumpah demo meluas rumah polisi pembunuh markas tni polri selalu menghalang halangi aspirasi rakyat bakarr hancurkan rakyat bukan punya rasa takut hatinya sangat tersakiti pemerintah indonesia bobrok rela mati memperjuangkan suara tersakiti selama bertahun tahun,bikin tenang rakyat anarkis bubarin dpr kalo bubarin rakyat sumpah demo luas rumah polisi bunuh markas tni polri selalu halang halang aspirasi rakyat bakarr hancur rakyat bukan punya rasa takut hati sangat sakit perintah indonesia bobrok rela mati juang suara sakit lama tahun tahun
cepat laksanakan 12 tuntutan yang di suarakan salsa erwina hutagalung,0,@hkwok9140,cepat laksanakan 12 tuntutan yang di suarakan salsa erwina hutagalung,cepat laksanakan tuntutan yang di suarakan salsa erwina hutagalung,cepat laksanakan tuntutan yang disuarakan oleh Salsa Erwina Hutagalung,cepat laksanakan tuntutan yang disuarakan oleh Salsa Erwina Hutagalung,"['cepat', 'laksanakan', 'tuntutan', 'yang', 'disuarakan', 'oleh', 'Salsa', 'Erwina', 'Hutagalung']","['cepat', 'laksanakan', 'tuntutan', 'disuarakan', 'Salsa', 'Erwina', 'Hutagalung']",cepat laksanakan tuntutan disuarakan Salsa Erwina Hutagalung,cepat laksana tuntut suara salsa erwina hutagalung
"seandainya kota jakarta ada di papua, dpr siap kena busur panah dari anak papua.",0,@Sunda-c4s2b,"seandainya kota jakarta ada di papua, dpr siap kena busur panah dari anak papua.",seandainya kota jakarta ada di papua dpr siap kena busur panah dari anak papua,"Seandainya kota Jakarta ada di Papua, DPR siap terkena busur panah dari anak Papua.","Seandainya kota Jakarta ada di Papua, DPR siap terkena busur panah dari anak Papua.","['Seandainya', 'kota', 'Jakarta', 'ada', 'di', 'Papua', ',', 'DPR', 'siap', 'terkena', 'busur', 'panah', 'dari', 'anak', 'Papua', '.']","['Seandainya', 'kota', 'Jakarta', 'Papua', ',', 'DPR', 'siap', 'terkena', 'busur', 'panah', 'anak', 'Papua', '.']","Seandainya kota Jakarta Papua , DPR siap terkena busur panah anak Papua .",anda kota jakarta papua dpr siap kena busur panah anak papua
sudah saatnya rakyat melawan sebelum indonesia hancur dn bubar karna ulah pejabat2 maling rakyat dn dpr yg justru menghianati rakyat...bersatulah rakyat indonesia mari kita bersatu lawan ketidak adilan ini hancurkan mereka bila perlu kita angkt senjata habisi mereka org2 yg telah menzhalimi rakyat,0,@SechudinUdin-s1c,sudah saatnya rakyat melawan sebelum indonesia hancur dan bubar karena ulah pejabat2 maling rakyat dan dpr yang justru menghianati rakyat...bersatulah rakyat indonesia mari kita bersatu lawan ketidak adilan ini hancurkan mereka bila perlu kita angkt senjata habisi mereka orang-orang yang telah menzhalimi rakyat,sudah saatnya rakyat melawan sebelum indonesia hancur dan bubar karena ulah pejabat maling rakyat dan dpr yang justru menghianati rakyat bersatulah rakyat indonesia mari kita bersatu lawan ketidak adilan ini hancurkan mereka bila perlu kita angkt senjata habisi mereka orang orang yang telah menzhalimi rakyat,sudah saatnya rakyat melawan sebelum indonesia hancur dan bubar karena ulah pejabat maling rakyat dan dpr yang justru menghianati rakyat bersatulah rakyat indonesia mari kita bersatu lawan ketidak adilan ini hancurkan mereka bila perlu kita angkt senjata habisi mereka orang orang yang telah menzhalimi rakyat,sudah saatnya rakyat melawan sebelum indonesia hancur dan bubar karena ulah pejabat maling rakyat dan dpr yang justru menghianati rakyat bersatulah rakyat indonesia mari kita bersatu lawan ketidak adilan ini hancurkan mereka bila perlu kita angkt senjata habisi mereka orang orang yang telah menzhalimi rakyat,"['sudah', 'saatnya', 'rakyat', 'melawan', 'sebelum', 'indonesia', 'hancur', 'dan', 'bubar', 'karena', 'ulah', 'pejabat', 'maling', 'rakyat', 'dan', 'dpr', 'yang', 'justru', 'menghianati', 'rakyat', 'bersatulah', 'rakyat', 'indonesia', 'mari', 'kita', 'bersatu', 'lawan', 'ketidak', 'adilan', 'ini', 'hancurkan', 'mereka', 'bila', 'perlu', 'kita', 'angkt', 'senjata', 'habisi', 'mereka', 'orang', 'orang', 'yang', 'telah', 'menzhalimi', 'rakyat']","['saatnya', 'rakyat', 'melawan', 'indonesia', 'hancur', 'bubar', 'ulah', 'pejabat', 'maling', 'rakyat', 'dpr', 'justru', 'menghianati', 'rakyat', 'bersatulah', 'rakyat', 'indonesia', 'bersatu', 'lawan', 'ketidak', 'adilan', 'hancurkan', 'bila', 'perlu', 'angkt', 'senjata', 'habisi', 'orang', 'orang', 'menzhalimi', 'rakyat']",saatnya rakyat melawan indonesia hancur bubar ulah pejabat maling rakyat dpr justru menghianati rakyat bersatulah rakyat indonesia bersatu lawan ketidak adilan hancurkan bila perlu angkt senjata habisi orang orang menzhalimi rakyat,saat rakyat lawan indonesia hancur bubar ulah jabat maling rakyat dpr justru menghianati rakyat satu rakyat indonesia satu lawan tidak adil hancur bila perlu angkt senjata habis orang orang menzhalimi rakyat
"terima kasih para pejuang sesungguhnya, kalian sudah mewakili kami seluruh rakyat indonesia 🙏",0,@PonciDaus-vz2gm,"terima kasih para pejuang sesungguhnya, kalian sudah mewakili kami seluruh rakyat indonesia 🙏",terima kasih para pejuang sesungguhnya kalian sudah mewakili kami seluruh rakyat indonesia,terima kasih para pejuang sesungguhnya kalian sudah mewakili kami seluruh rakyat indonesia,terima kasih para pejuang sesungguhnya kalian sudah mewakili kami seluruh rakyat indonesia,"['terima', 'kasih', 'para', 'pejuang', 'sesungguhnya', 'kalian', 'sudah', 'mewakili', 'kami', 'seluruh', 'rakyat', 'indonesia']","['terima', 'kasih', 'pejuang', 'sesungguhnya', 'kalian', 'mewakili', 'seluruh', 'rakyat', 'indonesia']",terima kasih pejuang sesungguhnya kalian mewakili seluruh rakyat indonesia,terima kasih juang sungguh kalian wakil seluruh rakyat indonesia
sebaiknya pulisi di sikat aja soalnya gak dukung masatakat antek dpr,1,@SuYadii-ok7ln,sebaiknya pulisi di sikat saja soalnya enggak dukung masatakat antek dpr,sebaiknya pulisi di sikat saja soalnya enggak dukung masatakat antek dpr,Sebaiknya polisi dibersihkan saja karena mereka tidak mendukung masyarakat dan hanya menjadi antek DPR.,Sebaiknya polisi dibersihkan saja karena mereka tidak mendukung masyarakat dan hanya menjadi antek DPR.,"['Sebaiknya', 'polisi', 'dibersihkan', 'saja', 'karena', 'mereka', 'tidak', 'mendukung', 'masyarakat', 'dan', 'hanya', 'menjadi', 'antek', 'DPR', '.']","['Sebaiknya', 'polisi', 'dibersihkan', 'mendukung', 'masyarakat', 'menjadi', 'antek', 'DPR', '.']",Sebaiknya polisi dibersihkan mendukung masyarakat menjadi antek DPR .,baik polisi bersih dukung masyarakat jadi antek dpr
"hati2 demo nya di manfaatkan antek asing. pengadu domba. 
opsi efesiensi anggaran dpr. mlh jadi ke prabowo. 😂
dpr yang milih kan rakyat. 

hati2 jangan sampai terhasut buzer asing di medsos.",0,@neophyteofficial915,hati-hati demo nya di manfaatkan antek asing. pengadu domba. opsi efesiensi anggaran dpr. malah jadi ke prabowo. 😂 dpr yang memilih kan rakyat. hati-hati jangan sampai terhasut buzer asing di medsos.,hati hati demo nya di manfaatkan antek asing pengadu domba opsi efesiensi anggaran dpr malah jadi ke prabowo dpr yang memilih kan rakyat hati hati jangan sampai terhasut buzer asing di medsos,hati-hati demo nya dimanfaatkan antek asing pengadu domba opsi efisiensi anggaran DPR malah jadi ke Prabowo DPR yang memilihkan rakyat hati-hati jangan sampai terhasut buzzer asing di medsos,hati-hati demo nya dimanfaatkan antek asing pengadu domba opsi efisiensi anggaran DPR malah jadi ke Prabowo DPR yang memilihkan rakyat hati-hati jangan sampai terhasut buzzer asing di medsos,"['hati-hati', 'demo', 'nya', 'dimanfaatkan', 'antek', 'asing', 'pengadu', 'domba', 'opsi', 'efisiensi', 'anggaran', 'DPR', 'malah', 'jadi', 'ke', 'Prabowo', 'DPR', 'yang', 'memilihkan', 'rakyat', 'hati-hati', 'jangan', 'sampai', 'terhasut', 'buzzer', 'asing', 'di', 'medsos']","['hati-hati', 'demo', 'nya', 'dimanfaatkan', 'antek', 'asing', 'pengadu', 'domba', 'opsi', 'efisiensi', 'anggaran', 'DPR', 'malah', 'jadi', 'Prabowo', 'DPR', 'memilihkan', 'rakyat', 'hati-hati', 'jangan', 'terhasut', 'buzzer', 'asing', 'medsos']",hati-hati demo nya dimanfaatkan antek asing pengadu domba opsi efisiensi anggaran DPR malah jadi Prabowo DPR memilihkan rakyat hati-hati jangan terhasut buzzer asing medsos,hati demo nya manfaat antek asing adu domba opsi efisiensi anggar dpr malah jadi prabowo dpr pilih rakyat hati jangan hasut buzzer asing medsos
kita rakyat indonesia g usah bayar pajak kalau buat d korupsi kita rakyat harus kompak,1,@miajuariah9733,kita rakyat indonesia enggak usah bayar pajak kalau buat di korupsi kita rakyat harus kompak,kita rakyat indonesia enggak usah bayar pajak kalau buat di korupsi kita rakyat harus kompak,"kita rakyat Indonesia tidak perlu bayar pajak jika digunakan untuk korupsi, kita rakyat harus bersatu","kita rakyat Indonesia tidak perlu bayar pajak jika digunakan untuk korupsi, kita rakyat harus bersatu","['kita', 'rakyat', 'Indonesia', 'tidak', 'perlu', 'bayar', 'pajak', 'jika', 'digunakan', 'untuk', 'korupsi', ',', 'kita', 'rakyat', 'harus', 'bersatu']","['rakyat', 'Indonesia', 'perlu', 'bayar', 'pajak', 'digunakan', 'korupsi', ',', 'rakyat', 'bersatu']","rakyat Indonesia perlu bayar pajak digunakan korupsi , rakyat bersatu",rakyat indonesia perlu bayar pajak guna korupsi rakyat satu
demo ini menunjukkan bhw rakyat sdh muak benci dan frustasi dgn kelakuan para pejabat di lembaga legislatif eksekutif dan yudikatif ☹😖,0,@wongusil95,demo ini menunjukkan bahwa rakyat sudah muak benci dan frustasi dengan kelakuan para pejabat di lembaga legislatif eksekutif dan yudikatif ☹😖,demo ini menunjukkan bahwa rakyat sudah muak benci dan frustasi dengan kelakuan para pejabat di lembaga legislatif eksekutif dan yudikatif,"Demo ini menunjukkan bahwa rakyat sudah muak, benci, dan frustrasi dengan kelakuan para pejabat di lembaga legislatif, eksekutif, dan yudikatif.","Demo ini menunjukkan bahwa rakyat sudah muak, benci, dan frustrasi dengan kelakuan para pejabat di lembaga legislatif, eksekutif, dan yudikatif.","['Demo', 'ini', 'menunjukkan', 'bahwa', 'rakyat', 'sudah', 'muak', ',', 'benci', ',', 'dan', 'frustrasi', 'dengan', 'kelakuan', 'para', 'pejabat', 'di', 'lembaga', 'legislatif', ',', 'eksekutif', ',', 'dan', 'yudikatif', '.']","['Demo', 'menunjukkan', 'rakyat', 'muak', ',', 'benci', ',', 'frustrasi', 'kelakuan', 'pejabat', 'lembaga', 'legislatif', ',', 'eksekutif', ',', 'yudikatif', '.']","Demo menunjukkan rakyat muak , benci , frustrasi kelakuan pejabat lembaga legislatif , eksekutif , yudikatif .",demo tunjuk rakyat muak benci frustrasi laku jabat lembaga legislatif eksekutif yudikatif
"harusnya selueuh indonesia berkumpul 
hancurkan dpr 
jangan cuma dari jkt aja ,",1,@AndriPutra-l7e,"harusnya selueuh indonesia berkumpul hancurkan dpr jangan cuma dari jakarta saja ,",harusnya selueuh indonesia berkumpul hancurkan dpr jangan cuma dari jakarta saja,"Harusnya seluruh Indonesia berkumpul untuk menghancurkan DPR, jangan cuma dari Jakarta saja.","Harusnya seluruh Indonesia berkumpul untuk menghancurkan DPR, jangan cuma dari Jakarta saja.","['Harusnya', 'seluruh', 'Indonesia', 'berkumpul', 'untuk', 'menghancurkan', 'DPR', ',', 'jangan', 'cuma', 'dari', 'Jakarta', 'saja', '.']","['Harusnya', 'seluruh', 'Indonesia', 'berkumpul', 'menghancurkan', 'DPR', ',', 'jangan', 'cuma', 'Jakarta', '.']","Harusnya seluruh Indonesia berkumpul menghancurkan DPR , jangan cuma Jakarta .",harus seluruh indonesia kumpul hancur dpr jangan cuma jakarta
